Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
South Korea,9474.577826,10184.84682,11030.61911,12187.12939,13502.58004,14693.99328,15721.56197,14974.49879,16807.01302,18538.87931,19724.49424,21396.71919,22096.02308,23773.59083,25186.6381,26884.4294,29064.70197,29945.89922,29508.28276,31736.70016,32546.51773,33557.03045,34244.23949,35324.2603,37902.36102,39575.30208,40957.34706,43044.34015,43410.14953,44698.28282,46888.67904
Israel,20497.52054,21555.83496,22187.59665,22796.28633,23274.79906,25627.71729,25670.07321,25962.20434,24559.38846,25951.20238,25510.65449,26207.59691,28025.23282,27833.89162,27916.34872,29309.6374,31172.65097,32336.08856,34755.38228,34755.76451,35877.11497,38220.11912,39464.35342,40247.08838,40950.3843,40223.17989,44060.51862,,,,
Czech Republic,11655.62003,11850.36547,12123.72874,12736.02198,13855.63267,14689.90856,14825.65829,14977.57594,15397.92282,16210.1377,17610.74958,18245.66901,19524.25779,20912.04591,22045.99888,23855.58792,26224.53077,27853.5499,27637.15866,27768.00435,28999.75476,29258.90485,30828.52641,32504.21758,33909.30924,36101.2856,38842.89627,41157.37041,44223.08816,42813.74134,44801.66688
Spain,14308.92851,14736.5513,14897.67323,15550.54177,16290.83407,16982.55714,17916.43016,19101.97196,19962.79211,21594.38821,23000.28315,24376.32871,25042.10789,26182.02831,27600.93718,30741.22645,32466.53163,33242.24543,32090.92345,31692.05273,31872.36309,31724.78535,32463.12368,33558.97667,34945.48161,37333.06491,39601.47963,40776.7683,43135.53943,37992.36888,40724.03471
Estonia,5745.887815,5906.246185,6428.848583,6845.404872,7942.85324,8408.842849,8479.421302,9393.571268,10281.92467,11628.29595,13090.35094,14496.52372,16584.41109,19286.7924,22160.97259,22780.0071,20460.80316,21589.56589,24515.48857,25946.94489,27418.68964,28917.83366,29222.74808,31310.1521,33867.80354,36488.63742,39068.18369,39456.8121,43494.06995,,
Slovakia,7186.996118,7471.896861,8071.828947,8695.889475,9407.185994,10085.99257,10622.86499,10714.98961,11352.87115,12386.40559,13307.8781,14166.01713,15197.88318,16595.2616,18848.6133,21138.41903,23608.97752,22948.25156,25222.34168,26260.18476,27000.73026,28021.09042,29029.58768,30062.17965,29737.53009,30147.01598,31374.188,33461.91292,32898.85299,33941.41438,
Portugal,12732.02749,13169.35221,13191.3487,13570.3785,14407.38628,14922.06946,15788.98135,16687.81233,17718.19956,18879.24878,19528.01433,20356.72156,20852.03205,21477.86547,22725.35161,24679.09911,25735.87316,26665.77158,26460.43818,27261.55633,26769.42769,26438.14047,27936.0063,28742.31313,29660.8459,31607.61019,33044.70015,34928.61899,37299.00721,34952.24306,36760.99658
Poland,5952.792425,6231.110284,6608.958097,7101.596058,7749.995924,8350.77382,9020.277064,9582.234118,10143.29528,10674.31829,11120.61504,11803.76136,12292.07259,13354.52728,13898.41301,15153.81561,16806.70684,18308.03899,19075.2742,20633.32702,22386.22712,23300.92291,24028.18672,25005.65569,26495.81492,27830.92774,29609.44637,31662.21054,34592.71136,34893.45977,37710.71133
Hungary,8347.800585,8294.055778,8466.339298,8930.605346,9192.794517,9352.492261,9825.03661,10398.57617,10873.24787,11854.80224,13210.001,14526.38825,15478.91432,16268.93197,17108.3406,18381.07124,19096.40591,20721.50241,20723.7884,21742.34521,23029.44718,23267.44839,24547.98046,25691.52734,26798.85423,27941.92675,29496.16375,31908.66192,34638.67196,34156.84004,36677.80317
Greece,13974.82747,14288.76562,14314.48666,14845.21571,15433.58123,16150.23418,17156.1799,18034.52923,18464.72645,19518.88733,20958.05566,22615.95744,23897.58173,25460.55072,25577.44544,28544.90907,29323.44949,30855.93577,30360.76723,27912.60063,25671.40912,24911.13028,25986.6407,26625.1593,26760.2808,27511.8032,28604.82915,29617.51863,31155.80052,28413.78468,31289.24776
Turkey,8507.721949,9071.655606,9872.918163,9383.884131,10111.68623,10832.18213,11651.15283,8937.787518,8625.279388,9476.068839,9143.012061,9279.072677,9597.866886,10884.31478,11910.60672,13639.66403,14864.72187,16038.23165,15443.44598,17346.4713,19590.85837,20627.44073,22373.13654,24104.98458,25855.91268,26695.90937,28193.0614,28281.47328,28011.1913,27971.20359,30671.74602
Chile,5166.520322,5827.459337,6270.746691,6653.874353,7388.385632,7970.38103,8589.0995,8927.893178,8909.772429,9440.041983,9845.971228,10205.70338,10779.63889,11682.59892,12600.90585,15589.15685,16771.1829,16449.61404,16028.55,18041.31482,20235.5706,21458.81166,22295.7397,22650.71239,22563.58177,23384.61267,24479.45871,25496.4314,25517.79402,24606.96844,28105.05092
