VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
1N4AZ0CP4D,King,RENTON,WA,98058,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,11,119987206,POINT (-122.137386 47.444808)
5YJ3E1EA4L,Snohomish,BOTHELL,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,44,3535731,POINT (-122.20151499999999 47.843376)
1G1FW6S07H,Whatcom,BELLINGHAM,WA,98225,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,42,273093789,POINT (-122.493388 48.74995)
1G1FW6S0XH,Thurston,TUMWATER,WA,98501,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,35,349987774,POINT (-122.87404199999999 46.998873)
5YJ3E1EA3J,Snohomish,MOUNTLAKE TERRACE,WA,98043,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,1,474204293,POINT (-122.30655200000001 47.792041)
1N4BZ1CP1K,King,CARNATION,WA,98014,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,5,4785448,POINT (-121.91148700000001 47.660868)
5YJYGDEE6L,Whatcom,FERNDALE,WA,98248,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,42,110998772,POINT (-122.615152 48.863295)
1N4BZ1CP3K,King,WOODINVILLE,WA,98072,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,45,152525628,POINT (-122.132064 47.759381000000005)
JTDKARFP3J,Pierce,BUCKLEY,WA,98321,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27300,31,293704645,POINT (-121.91003699999999 47.06488)
1N4AZ1CP2J,King,BELLEVUE,WA,98006,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,41,177796468,POINT (-122.151342 47.560192)
5YJSA1H13E,Spokane,SPOKANE,WA,99204,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,3,142213004,POINT (-117.42653599999998 47.647896)
1G1RA6S51H,King,SEATTLE,WA,98136,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,34,190796518,POINT (-122.38895500000001 47.537382)
5YJYGDEE8L,King,SEATTLE,WA,98107,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,36,124434075,POINT (-122.375438 47.667804)
5YJYGDEEXL,King,KIRKLAND,WA,98033,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,48,124433515,POINT (-122.188994 47.678406)
1N4AZ0CP3F,Kitsap,BAINBRIDGE ISLAND,WA,98110,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,23,136761180,POINT (-122.534497 47.643688)
5YJ3E1EA5L,King,SEATTLE,WA,98109,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36,131616978,POINT (-122.346385 47.630685)
5YJ3E1EB9K,Clark,BATTLE GROUND,WA,98604,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,18,336791472,POINT (-122.52265700000001 45.795099)
1N4AZ1CP0J,Spokane,GREENACRES,WA,99016,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,9,475960201,POINT (-117.152872 47.645579)
1N4BZ0CP7H,Clark,VANCOUVER,WA,98682,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,17,4887403,POINT (-122.508465 45.670446)
WBY2Z2C53H,Pierce,PUYALLUP,WA,98374,2017,BMW,I8 COUPE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,143400,25,109865990,POINT (-122.26536800000001 47.133331)
5YJXCAE20G,King,RENTON,WA,98059,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,74000,11,219998173,POINT (-122.132064 47.494834)
KNDCE3LC7K,Whatcom,BLAINE,WA,98230,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,42,478477058,POINT (-122.727446 48.951762)
5YJ3E1EC9L,King,BELLEVUE,WA,98006,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,41,110017834,POINT (-122.151342 47.560192)
KNDCE3LC9K,Snohomish,LYNNWOOD,WA,98087,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,21,5973859,POINT (-122.26636700000002 47.863478)
5YJSA1E47G,Pierce,SPANAWAY,WA,98387,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,29,232959086,POINT (-122.391603 47.067846)
1N4AZ1CP3K,King,SEATTLE,WA,98109,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,36,224363394,POINT (-122.346385 47.630685)
1N4AZ0CP5D,King,LAKE FOREST PARK,WA,98155,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,46,232116139,POINT (-122.30332400000002 47.756486)
WP0CH2A76J,King,MERCER ISLAND,WA,98040,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,184400,41,103328963,POINT (-122.227947 47.565443)
3C3CFFGE4F,Snohomish,BOTHELL,WA,98012,2015,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,1,265460345,POINT (-122.20151499999999 47.843376)
WBY1Z4C57E,King,SEATTLE,WA,98144,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,41350,37,124437596,POINT (-122.30033 47.585339)
WMEEJ9AA1F,King,SEATTLE,WA,98133,2015,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,25000,36,267901728,POINT (-122.343983 47.73996900000001)
5YJ3E1EC6L,King,SEATTLE,WA,98144,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,37,8729696,POINT (-122.30033 47.585339)
5YJSA1H48F,King,SEATTLE,WA,98105,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,147415152,POINT (-122.298657 47.663771)
KM8K53AGXK,King,KENMORE,WA,98028,2019,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,36950,46,476769814,POINT (-122.24619300000002 47.755504)
3C3CFFGE5E,King,SEATTLE,WA,98108,2014,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,11,145312933,POINT (-122.31336800000001 47.54411)
JN1AZ0CP4B,King,KIRKLAND,WA,98034,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,1,146728564,POINT (-122.204248 47.719278)
WMEEJ9AA6E,Kitsap,BAINBRIDGE ISLAND,WA,98110,2014,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,25000,23,105507496,POINT (-122.534497 47.643688)
WBY7Z6C56J,King,KIRKLAND,WA,98033,2018,BMW,I3S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,44450,48,3247492,POINT (-122.188994 47.678406)
WBY7Z2C51J,King,SEATTLE,WA,98115,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,44450,46,469160863,POINT (-122.297534 47.685291)
KNDCE3LC1K,Snohomish,EDMONDS,WA,98020,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,21,254275745,POINT (-122.370709 47.801416)
JTDKARFP4L,Clark,BATTLE GROUND,WA,98604,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,18,132577490,POINT (-122.52265700000001 45.795099)
KNDCC3LG5K,Pierce,GIG HARBOR,WA,98335,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,26,307695972,POINT (-122.612932 47.300296)
1N4AZ1CP7J,Skagit,ANACORTES,WA,98221,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,40,475838702,POINT (-122.62841800000001 48.487079)
JTDKN3DP9C,King,SEATTLE,WA,98125,2012,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,32000,46,118808973,POINT (-122.303604 47.716244)
KNDCE3LC0K,Kitsap,PORT ORCHARD,WA,98367,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,26,2646927,POINT (-122.65890100000001 47.466778)
2C4RC1N77J,Kitsap,PORT ORCHARD,WA,98367,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,39995,26,350286744,POINT (-122.65890100000001 47.466778)
5YJ3E1EA3L,King,KIRKLAND,WA,98033,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,48,9401157,POINT (-122.188994 47.678406)
1G1RD6S51K,Pierce,EDGEWOOD,WA,98372,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33520,31,286341520,POINT (-122.27076099999998 47.205558)
5YJ3E1EA6J,Snohomish,BOTHELL,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,44,123278620,POINT (-122.20151499999999 47.843376)
1N4AZ0CPXG,Pierce,BUCKLEY,WA,98321,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,31,236188879,POINT (-121.91003699999999 47.06488)
3FA6P0PU8G,Snohomish,EVERETT,WA,98203,2016,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,33900,38,1453231,POINT (-122.227707 47.943014)
1G1RD6E41B,Pierce,LAKEWOOD,WA,98498,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,41000,28,199787066,POINT (-122.55645 47.162344)
3FA6P0SU9E,Spokane,CHATTAROY,WA,99003,2014,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34700,7,176278476,POINT (-117.29399000000001 47.919624)
WDDVP9AB8G,King,SAMMAMISH,WA,98075,2016,MERCEDES-BENZ,B250E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,41450,41,131810773,POINT (-122.028168 47.586173)
KMHE24L12G,Skagit,SEDRO WOOLLEY,WA,98284,2016,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,34600,39,211055253,POINT (-122.120008 48.522006)
5YJSA1E28J,King,BELLEVUE,WA,98008,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74500,48,326693041,POINT (-122.117365 47.609515)
YV4BC0PL4H,Pierce,PUYALLUP,WA,98371,2017,VOLVO,XC90 AWD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,67800,25,320938348,POINT (-122.320103 47.197193)
1N4BZ1CP4L,King,BELLEVUE,WA,98006,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,41,128604584,POINT (-122.151342 47.560192)
1G1RC6S5XH,Whatcom,BELLINGHAM,WA,98225,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,42,103202298,POINT (-122.493388 48.74995)
3FA6P0SU5G,King,FEDERAL WAY,WA,98023,2016,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,33900,30,147782477,POINT (-122.362029 47.308531)
5YJ3E1EB4L,King,REDMOND,WA,98053,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,45,4877638,POINT (-122.024951 47.670286)
KMHE24L14G,Skagit,MOUNT VERNON,WA,98273,2016,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,34600,40,225760181,POINT (-122.35566899999999 48.416422)
5YJ3E1EB4K,King,SEATTLE,WA,98125,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,46,320765336,POINT (-122.303604 47.716244)
2C4RC1N77K,Thurston,OLYMPIA,WA,98512,2019,CHRYSLER,PACIFICA HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,35,332162120,POINT (-123.020941 46.96755)
1G1RA6S58H,Whatcom,BELLINGHAM,WA,98226,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,40,348207954,POINT (-122.454718 48.801538)
5YJSA1CN2D,King,BELLEVUE,WA,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,167758027,POINT (-122.20316899999999 47.619011)
1G1RA6E46D,Franklin,PASCO,WA,99301,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,39145,9,135805638,POINT (-118.98992 46.371381)
5YJXCDE23K,King,SEATTLE,WA,98102,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,88000,43,342582082,POINT (-122.321673 47.634289)
5YJYGDEE5L,King,SEATTLE,WA,98109,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,43,132944605,POINT (-122.346385 47.630685)
1G1FW6S0XJ,Thurston,TUMWATER,WA,98501,2018,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,22,325650839,POINT (-122.87404199999999 46.998873)
WBY7Z8C55J,King,SEATTLE,WA,98125,2018,BMW,I3S WITH RANGE EXTENDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,44450,46,474302972,POINT (-122.303604 47.716244)
5YJSA1E26L,Skagit,ANACORTES,WA,98221,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,40,109747739,POINT (-122.62841800000001 48.487079)
JTDKN3DP6E,King,REDMOND,WA,98052,2014,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,29990,48,349642744,POINT (-122.122018 47.678465)
5YJSA1E29G,King,KENT,WA,98042,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,47,6876467,POINT (-122.11667400000002 47.363112)
WBY1Z8C55H,Pierce,UNIVERSITY PLACE,WA,98466,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,42400,28,116967609,POINT (-122.53523700000001 47.227719)
5YJ3E1EB7J,Snohomish,EDMONDS,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,21,255581021,POINT (-122.33304600000001 47.829439)
5YJSA1H10E,King,MERCER ISLAND,WA,98040,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,156990375,POINT (-122.227947 47.565443)
5YJSA1E22G,King,REDMOND,WA,98053,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,45,165060339,POINT (-122.024951 47.670286)
5YJ3E1EA7L,King,REDMOND,WA,98052,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,45,109792350,POINT (-122.122018 47.678465)
1N4AZ0CP5F,Kitsap,BAINBRIDGE ISLAND,WA,98110,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,23,224802784,POINT (-122.534497 47.643688)
5YJXCDE22L,King,KIRKLAND,WA,98033,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,45,106034295,POINT (-122.188994 47.678406)
JTDKARFP3J,Thurston,OLYMPIA,WA,98501,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27300,22,324121479,POINT (-122.87404199999999 46.998873)
1G1RA6E46C,King,FEDERAL WAY,WA,98023,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,39145,30,257317658,POINT (-122.362029 47.308531)
1N4AZ1CP7J,King,SAMMAMISH,WA,98075,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,41,347778035,POINT (-122.028168 47.586173)
5YJ3E1EA4J,Skagit,ANACORTES,WA,98221,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,10,258609291,POINT (-122.62841800000001 48.487079)
5UXKT0C56H,King,SEATTLE,WA,98144,2017,BMW,X5 XDRIVE40E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,63200,37,110139305,POINT (-122.30033 47.585339)
1N4AZ0CP4D,King,SAMMAMISH,WA,98074,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,45,195670394,POINT (-122.04272399999999 47.623594)
5YJ3E1EB8L,King,BOTHELL,WA,98011,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,101030653,POINT (-122.197147 47.757791)
5YJYGDEEXL,King,WOODINVILLE,WA,98077,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,45,125823211,POINT (-122.05752200000002 47.749161)
1N4AZ0CPXF,Snohomish,EDMONDS,WA,98026,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,21,210726841,POINT (-122.33304600000001 47.829439)
1G1RC6S59H,Snohomish,BRIER,WA,98036,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,1,102947120,POINT (-122.28185600000002 47.811678)
1G1RC6E49F,Spokane,SPOKANE,WA,99205,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34170,3,102180326,POINT (-117.44149600000001 47.695417)
5YJ3E1EB2L,King,SAMMAMISH,WA,98075,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,41,125767099,POINT (-122.028168 47.586173)
5YJ3E1EA2K,King,SEATTLE,WA,98103,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,36,476505165,POINT (-122.343577 47.672491)
5YJXCBE23H,King,BELLEVUE,WA,98006,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,82500,41,9457241,POINT (-122.151342 47.560192)
KM8K23AG9L,Clark,VANCOUVER,WA,98665,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,49,136958181,POINT (-122.65680300000001 45.682725)
1N4AZ1CP4J,Clark,VANCOUVER,WA,98682,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,17,206346143,POINT (-122.508465 45.670446)
1G1RC6S51H,Snohomish,BOTHELL,WA,98021,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,1,301394544,POINT (-122.21210499999998 47.792368)
JN1AZ0CP3C,King,BELLEVUE,WA,98008,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,48,247771170,POINT (-122.117365 47.609515)
1N4BZ1CP3K,Douglas,EAST WENATCHEE,WA,98802,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,12,186270465,POINT (-120.241485 47.454995)
5YJSA1E28J,King,SEATTLE,WA,98105,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74500,46,474542841,POINT (-122.298657 47.663771)
1G1RA6S51H,King,SEATTLE,WA,98105,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,46,157852306,POINT (-122.298657 47.663771)
1N4AZ1CPXJ,Pierce,UNIVERSITY PLACE,WA,98467,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,28,250511173,POINT (-122.537695 47.205343)
1N4AZ0CP6D,Whatcom,FERNDALE,WA,98248,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,42,349588004,POINT (-122.615152 48.863295)
5YJ3E1EB1L,King,SEATTLE,WA,98144,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,37,102390725,POINT (-122.30033 47.585339)
3C3CFFGE4G,King,ENUMCLAW,WA,98022,2016,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,31800,31,331151677,POINT (-121.99141500000002 47.199452)
KNDCC3LG5K,Thurston,OLYMPIA,WA,98512,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,22,1939122,POINT (-123.020941 46.96755)
5YJ3E1EB2L,King,SEATTLE,WA,98118,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,37,102240267,POINT (-122.275593 47.54055)
1N4BZ1CP4K,Snohomish,WOODWAY,WA,98020,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,32,1892355,POINT (-122.370709 47.801416)
5YJXCBE48G,King,MEDINA,WA,98039,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,74000,48,112545044,POINT (-122.23458900000001 47.626443)
1G1RA6E49D,King,KENT,WA,98030,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,39145,47,104113194,POINT (-122.19538100000001 47.369696)
5YJ3E1EB9J,King,BELLEVUE,WA,98005,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,41,244727395,POINT (-122.168422 47.614824)
5YJSA1E4XH,King,KIRKLAND,WA,98034,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,68000,1,316102825,POINT (-122.204248 47.719278)
WVWKR7AU9J,Pierce,TACOMA,WA,98407,2018,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,30495,27,474966285,POINT (-122.506857 47.285977)
WBY1Z4C58F,Thurston,OLYMPIA,WA,98506,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,42400,22,348283834,POINT (-122.86836 47.085951)
KNDCE3LC7K,Pierce,TACOMA,WA,98422,2019,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,38500,27,104158106,POINT (-122.39628600000002 47.293138)
1G1FZ6S04L,King,REDMOND,WA,98052,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,48,112465027,POINT (-122.122018 47.678465)
5YJSA1E21J,Pierce,VAUGHN,WA,98394,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,74500,26,279714963,POINT (-122.77752599999998 47.32598)
5YJ3E1EB2K,King,REDMOND,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,45,323745572,POINT (-122.122018 47.678465)
5YJ3E1EA8J,King,SEATTLE,WA,98122,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,37,234908488,POINT (-122.303413 47.61065)
5YJXCAE27J,Clark,VANCOUVER,WA,98660,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79500,49,280859491,POINT (-122.693972 45.648434)
5YJ3E1EA8K,King,SAMMAMISH,WA,98074,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,45,195728193,POINT (-122.04272399999999 47.623594)
5YJSA1E46H,Skagit,MOUNT VERNON,WA,98274,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,68000,10,243492238,POINT (-122.250701 48.368138)
5YJYGDEEXL,King,BELLEVUE,WA,98004,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,41,115300643,POINT (-122.20316899999999 47.619011)
1G1RB6E49D,San Juan,OLGA,WA,98279,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,39145,40,2194013,POINT (-122.80363200000001 48.641308)
