VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
1N4BZ0CP6G,Snohomish,MONROE,WA,98272,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,39,174382022,POINT (-121.92791 47.853585)
5YJ3E1EB6J,King,SNOQUALMIE,WA,98065,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,5,474308096,POINT (-121.819086 47.539931)
5YJSA1H28F,King,BELLEVUE,WA,98008,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,213056665,POINT (-122.117365 47.609515)
1G1FX6S04H,Snohomish,EVERETT,WA,98208,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,21,148994814,POINT (-122.19615 47.894423)
5YJ3E1EA8J,King,REDMOND,WA,98074,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,45,118200022,POINT (-122.04272399999999 47.623594)
5YJ3E1EB7J,Klickitat,WHITE SALMON,WA,98672,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,14,334551395,POINT (-121.469889 45.795046)
3C3CFFGE9H,King,SEATTLE,WA,98115,2017,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,32995,46,2291894,POINT (-122.297534 47.685291)
5YJXCBE25J,Clark,VANCOUVER,WA,98686,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79500,17,277465065,POINT (-122.62873500000002 45.715902)
5YJ3E1EB2J,King,BELLEVUE,WA,98007,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,48,476008095,POINT (-122.14323100000001 47.611666)
1N4BZ0CP0H,King,TUKWILA,WA,98168,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,11,154494119,POINT (-122.30251 47.488635)
