Name,Age,Team,Salary
Kyle Singler,26,TOT,2732000
Donald Sloan,27,IND,2732000
Matthew Dellavedova,24,CLE,2732000
Joey Dorsey,31,HOU,2732000
James Ennis,24,MIA,2732000
Kevin Garnett,38,TOT,2616975
Gerald Green,29,PHO,2568360
Kevin Martin,31,MIN,2548560
Mike Muscala,23,ATL,2524200
Anderson Varejao,32,CLE,2500000
Shawne Williams,28,TOT,2442455
J.J. Hickson,26,DEN,2439840
C.J. McCollum,23,POR,2433333
Brian Roberts,29,CHO,2421000
Quincy Acy,24,NYK,2397840
Alec Burks,23,UTA,2380594
Dewayne Dedmon,25,ORL,2317920
Festus Ezeli,25,GSW,2300040
Drew Gooden,33,WAS,2277960
Wesley Johnson,27,LAL,2249768
Shane Larkin,22,NYK,2242003
Shawn Marion,36,CLE,2213688
Kevin Seraphin,25,WAS,2204370
Luke Babbitt,25,NOP,2202000
Kent Bazemore,25,ATL,2184960
Dante Cunningham,27,NOP,2106720
Joel Freeland,27,POR,2106720
Jeremy Lamb,22,OKC,2077000
Jusuf Nurkic,20,DEN,2077000
Kyle O'Quinn,24,ORL,2077000
Rajon Rondo,28,TOT,2077000
Larry Sanders,26,MIL,2077000
Dorell Wright,29,POR,2077000
Pero Antic,32,ATL,2075760
Justin Hamilton,24,TOT,2055840
James Jones,34,CLE,2038206
Austin Rivers,22,TOT,2023261
Thomas Robinson,23,TOT,2008748
Iman Shumpert,24,TOT,2000000
Garrett Temple,28,WAS,2000000
Furkan Aldemir,23,PHI,2000000
Isaiah Canaan,23,TOT,1987320
Norris Cole,26,TOT,1971960
Glen Davis,29,LAC,1962103
Udonis Haslem,34,MIA,1953120
Jason Maxiell,31,CHO,1887840
Ray McCallum,23,SAC,1873200
Patrick Mills,26,SAS,1855320
Jameer Nelson,32,TOT,1828750
Charlie Villanueva,30,DAL,1794871
Will Barton,24,TOT,1790281
Chase Budinger,26,MIN,1768653
Allen Crabbe,22,POR,1762680
Jeremy Evans,27,UTA,1762680
Langston Galloway,23,NYK,1750000
Justin Holiday,25,GSW,1703760
Jon Leuer,25,MEM,1690680
Shelvin Mack,24,ATL,1674480
Mitch McGary,22,OKC,1662961
Jabari Parker,19,MIL,1650000
Damjan Rudez,28,IND,1618680
Joel Anthony,32,DET,1606080
Jeff Ayres,27,SAS,1590720
Wayne Ellington,27,LAL,1545840
Reggie Evans,34,SAC,1533840
Alonzo Gee,27,TOT,1519200
Spencer Hawes,26,LAC,1500000
Jerome Jordan,28,BRK,1483920
Nikola Pekovic,29,MIN,1483920
Derrick Rose,26,CHI,1472400
Jason Smith,28,NYK,1458360
Marcus Thornton,27,TOT,1448490
Hedo Turkoglu,35,LAC,1448490
Nick Young,29,LAL,1448490
Nick Calathes,25,MEM,1448490
Luc Mbah a Moute,28,PHI,1448490
Ramon Sessions,28,TOT,1448490
Dion Waiters,23,TOT,1448490
T.J. Warren,21,PHO,1448490
Vince Carter,38,MEM,1448490
Randy Foye,31,DEN,1448490
Aaron Gordon,19,ORL,1424520
Kirk Hinrich,34,CHI,1413480
Ryan Hollins,30,SAC,1400040
Darrell Arthur,26,DEN,1370000
Andrea Bargnani,29,NYK,1357080
Jose Calderon,33,NYK,1344120
John Jenkins,23,ATL,1316809
Michael Carter-Williams,23,TOT,1316809
Tim Hardaway,22,NYK,1316809
Robbie Hummel,25,MIN,1316809
Cory Jefferson,24,BRK,1316809
Chris Johnson,24,TOT,1316809
Tyler Johnson,22,MIA,1312920
Kendall Marshall,23,MIL,1310286
E'Twaun Moore,25,CHI,1310286
Phil Pressey,23,BOS,1302840
Robert Sacre,25,LAL,1302578
Greg Smith,24,DAL,1290360
Jeff Withey,24,NOP,1276061
Elton Brand,35,ATL,1250640
Sergey Karasev,21,BRK,1250000
Ryan Kelly,23,LAL,1238640
Ronnie Price,31,LAL,1227985
Jordan Farmar,28,LAC,1227985
Danny Granger,31,MIA,1227985
K.J. McDaniels,21,TOT,1210080
Gary Neal,30,TOT,1200720
Dwight Powell,23,TOT,1189200
Luke Ridnour,33,ORL,1169880
JaKarr Sampson,21,PHI,1160880
Markel Brown,23,BRK,1149720
Jerami Grant,20,PHI,1145686
Chuck Hayes,31,TOR,1145685
Bernard James,29,DAL,1145685
James McAdoo,22,GSW,1129200
Shabazz Napier,23,MIA,1127400
Kostas Papanikolaou,24,HOU,1112880
Ricky Rubio,24,MIN,1112280
Nik Stauskas,21,SAC,1109760
Jarnell Stokes,21,MEM,1100602
Mirza Teletovic,29,BRK,1100000
Noah Vonleh,19,CHO,1093680
Henry Walker,27,MIA,1090000
Jordan Adams,20,MEM,1082000
Jeff Adrien,28,MIN,1063384
Jabari Brown,22,LAL,1063384
Luigi Datome,27,TOT,1063384
JaMychal Green,24,TOT,1063384
JaVale McGee,27,TOT,1000000
Josh McRoberts,27,MIA,1000000
Mike Miller,34,CLE,1000000
Elijah Millsap,27,UTA,981084
Jason Richardson,34,PHI,981084
Sebastian Telfair,29,OKC,981084
Shayne Whittington,23,IND,981084
Lou Amundson,32,TOT,981084
Kyle Anderson,21,SAS,981084
Anthony Bennett,21,MIN,981084
Lorenzo Brown,24,MIN,981084
Samuel Dalembert,33,NYK,981084
Landry Fields,26,TOR,981084
Ben Gordon,31,ORL,967500
Jorge Gutierrez,26,TOT,948163
P.J. Hairston,22,CHO,948163
Maurice Harkless,21,ORL,948163
Ognjen Kuzmic,24,GSW,948163
John Lucas III,32,DET,948163
Steve Novak,31,TOT,948163
Arinze Onuaku,27,MIN,948163
A.J. Price,28,TOT,948163
Nate Robinson,30,TOT,948163
Jeffery Taylor,25,CHO,915243
Ekpe Udoh,27,LAC,915243
Tony Wroten,21,PHI,915243
James Young,19,BOS,915243
Kobe Bryant,36,LAL,915243
Ian Clark,23,TOT,915243
Jack Cooley,23,UTA,915243
Bryce Cotton,22,UTA,915243
Troy Daniels,23,TOT,915243
Brandon Davies,23,TOT,915243
Toney Douglas,28,NOP,915243
Raymond Felton,30,DAL,915243
Jimmer Fredette,25,NOP,915243
Archie Goodwin,20,PHO,915243
Joe Harris,23,CLE,884879
Lester Hudson,30,LAC,884879
Perry Jones,23,OKC,884879
Kenyon Martin,37,MIL,880000
Jannero Pargo,35,CHO,862000
Reggie Williams,28,SAS,831942
DeJuan Blair,25,WAS,816482
Reggie Bullock,23,TOT,816482
Dwight Buycks,25,LAL,816482
